# cellNo,xcoord,ycoord,size,noVacuoles
1181,1816,49922,9
1844,1837,41004,7
1948,1896,23275,4
688,1920,27378,5
255,1924,24645,4
1154,181,58115,7
791,193,56964,4
567,238,46189,6
1671,285,32164,8
1310,298,48462,5
1513,253,30450,1
1071,413,51529,13
808,447,20010,3
1247,468,33930,8
1820,535,18330,2
1388,527,31515,4
850,586,41400,8
1028,598,20850,3
1223,613,29240,5
966,686,21573,2
1289,687,17822,3
1145,715,28756,6
1015,809,27018,5
858,865,34398,7
1859,831,67445,7
1140,929,59360,8
1673,929,44298,6
159,973,34228,2
624,960,39770,5
973,1022,19698,0
1896,1062,41730,11
746,1035,46800,6
609,1076,19311,6
127,1187,53144,9
1755,1161,39780,9
621,1210,86056,17
239,1255,33670,12
1119,1291,59004,22
393,1281,41820,14
574,1329,49680,3
1895,1342,25330,2
1571,1423,151200,23
1157,1425,76368,16
183,1381,42174,11
411,1433,32088,2
1795,1548,40140,9
1919,1687,32550,5
324,1687,77848,16
1134,1827,77064,21
1355,117,32767,1
608,111,28819,6
756,132,27968,2
1697,142,35720,1
899,219,68327,6
167,223,43210,6
1907,248,51129,4
1219,271,36432,1
420,342,27405,3
538,476,43792,3
235,480,28730,1
1783,694,28595,0
364,775,40200,1
686,870,62000,7
355,952,49608,8
515,940,59682,7
346,1159,39917,1
542,1154,63335,12
955,1429,113190,5
1672,1396,100206,16
1479,1519,48138,7
1299,1517,61408,12
597,1588,88770,9
932,1628,146652,7
666,1723,54900,2
1293,1818,37740,1
855,1828,56759,3
1122,146,41615,3
1735,811,35934,0
1267,823,88396,18
1516,828,41256,4
966,914,69540,4
315,1017,15738,4
1594,1052,45360,6
298,1066,15222,2
337,1284,58032,8
924,1260,24424,4
1709,1299,57475,6
802,1355,31790,1
1336,1324,69954,3
964,1450,82863,11
1571,1383,51455,13
1856,1477,62499,12
1275,1503,33369,5
1280,1615,46800,9
138,1581,31648,1
402,1667,12960,3
1685,1700,66563,11
248,1710,12810,2
1472,1696,31486,1
529,1780,186615,18
1844,1794,40906,6
1839,1906,33631,5
1696,1894,31800,2
1618,1979,9945,1
1807,163,45675,8
304,210,102538,14
796,267,120320,8
611,339,83456,18
388,392,62436,7
1749,360,20368,3
1683,373,115,1
1688,478,98250,14
1450,506,127908,18
695,559,37740,7
1867,683,39951,8
1845,749,12604,3
396,832,44702,6
560,905,47288,7
954,892,84665,4
355,945,49692,7
710,966,57250,16
163,970,38325,1
1182,979,93174,16
1722,1000,39537,6
1550,1008,40420,4
1891,1092,68419,11
1007,1134,23595,1
1586,1149,33820,8
1778,1204,69575,12
1400,1269,38709,11
1576,1267,30444,3
964,1360,61640,7
1811,1354,28564,6
1595,1402,86580,21
1322,1367,45156,3
1760,1522,14835,0
1520,1568,117306,13
